Ethnicity,Gender,FSM,SEN_type,SEN_grouping,Admission_type,School_characteristic,Religious_denomination,Value,Value_type,Denominator,Numerator
Mixed,Boys,All,All,All,All,FE 14-16 Colleges,All,0,%,4,0
Mixed,Girls,All,All,All,All,Free Schools,All,56.9,%,397,226
Mixed,Girls,All,All,All,All,Converter Academies,All,60.7,%,7213,4376
Mixed,Boys,All,All,All,All,LA maintained mainstream,All,44.5,%,3382,1504
Mixed,Girls,All,All,All,All,LA maintained mainstream,All,53.2,%,3682,1959
Mixed,All,All,All,All,All,LA maintained mainstream,All,49,%,7064,3463
Other,Boys,FSM,All,All,All,All state-funded,All,35.8,%,1474,528
Other,Girls,FSM,All,All,All,All state-funded,All,43.5,%,1309,569
Irish Traveller,All,All,All,All,All,All state-funded,All,20,%,160,32
Unknown,Boys,FSM,All,All,All,All state-funded,All,24.4,%,753,184
Irish Traveller,All,FSM,All,All,All,All state-funded,All,10.1,%,89,9
Irish Traveller,Boys,All,All,All,All,All state-funded,All,16,%,75,12
Irish Traveller,Girls,All,All,All,All,All state-funded,All,23.5,%,85,20
Mixed,Girls,All,All,All,selective schools,State-funded mainstream,All,96.3,%,781,752
Mixed,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,39.3,%,872,343
Mixed,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,53,%,12899,6837
Mixed,All,All,All,All,selective schools,State-funded mainstream,All,96,%,1535,1474
Mixed,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,42.8,%,1701,728
Mixed,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,46.4,%,829,385
Mixed,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,45.1,%,12763,5760
Mixed,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,49.1,%,25662,12597
Mixed,Boys,All,All,All,selective schools,State-funded mainstream,All,95.8,%,754,722
Mixed,Girls,All,All,No identified SEN,All,All state-funded,All,58.6,%,13073,7657
Mixed,Boys,All,All,Any SEN,All,All state-funded,All,14.9,%,2699,402
Mixed,Girls,All,All,Any SEN,All,All state-funded,All,20,%,1593,318
Mixed,Boys,All,All,No identified SEN,All,All state-funded,All,53.1,%,12112,6428
Mixed,All,All,All,All,All,All state-funded,All,50.2,%,29481,14805
Mixed,Girls,All,SEN State EHC,All,All,All state-funded,All,4.3,%,299,13
Mixed,Boys,All,SEN State EHC,All,All,All state-funded,All,7.4,%,840,62
Mixed,Girls,All,No SEN,All,All,All state-funded,All,58.6,%,13073,7657
Mixed,All,All,All,Any SEN,All,All state-funded,All,16.8,%,4292,720
Mixed,Boys,All,No SEN,All,All,All state-funded,All,53.1,%,12112,6428
Mixed,Boys,All,SEN Supp,All,All,All state-funded,All,18.3,%,1859,340
Mixed,All,All,All,No identified SEN,All,All state-funded,All,55.9,%,25185,14085
Mixed,Girls,All,SEN Supp,All,All,All state-funded,All,23.6,%,1294,305
Mixed,All,All,No SEN,All,All,All state-funded,All,55.9,%,25185,14085
Unknown,Girls,FSM,All,All,All,All state-funded,All,28.9,%,658,190
Mixed,All,All,SEN State EHC,All,All,All state-funded,All,6.6,%,1139,75
Irish Traveller,All,Non-FSM,All,All,All,All state-funded,All,32.4,%,71,23
Mixed,All,All,All,All,All,State-funded special schools,All,1,%,578,6
Mixed,Girls,All,All,All,All,State-funded special schools,All,0.6,%,157,1
Mixed,Boys,All,All,All,All,State-funded special schools,All,1.2,%,421,5
Mixed,Boys,All,All,All,All,State-funded mainstream,All,47.4,%,14393,6825
Mixed,All,All,All,All,All,State-funded mainstream,All,51.2,%,28903,14799
Mixed,Girls,All,All,All,All,State-funded mainstream,All,55,%,14510,7974
All,Boys,Non-FSM,All,All,All,All state-funded,All,49.9,%,241518,120533
All,Girls,Non-FSM,All,All,All,All state-funded,All,58.3,%,231810,135229
Asian,Boys,Non-FSM,All,All,All,All state-funded,All,58.1,%,25986,15093
Asian,Girls,Non-FSM,All,All,All,All state-funded,All,64.8,%,24594,15927
Mixed,All,All,SEN Supp,All,All,All state-funded,All,20.5,%,3153,645
Mixed,Boys,All,All,All,All,All state-funded,All,46.1,%,14814,6830
Mixed,All,FSM,All,All,All,All state-funded,All,29.8,%,6321,1886
Mixed,Girls,All,All,All,All,All state-funded,All,54.4,%,14667,7975
Mixed,All,Non-FSM,All,All,All,All state-funded,All,55.8,%,23160,12919
Asian Other,Girls,Non-FSM,All,All,All,All state-funded,All,73.8,%,4160,3071
Asian Other,Boys,Non-FSM,All,All,All,All state-funded,All,63.9,%,4656,2976
Bangladeshi,Girls,Non-FSM,All,All,All,All state-funded,All,63,%,3815,2404
Bangladeshi,Boys,Non-FSM,All,All,All,All state-funded,All,57,%,3850,2196
Mixed Other,All,All,All,All,All,All state-funded,All,53,%,11093,5878
Mixed Other,All,FSM,All,All,All,All state-funded,All,33.1,%,2183,722
Mixed Other,Boys,All,All,All,All,All state-funded,All,49.8,%,5667,2824
Mixed Other,Girls,All,All,All,All,All state-funded,All,56.3,%,5426,3054
Mixed Other,All,Non-FSM,All,All,All,All state-funded,All,57.9,%,8910,5156
Black,Boys,Non-FSM,All,All,All,All state-funded,All,43.5,%,12277,5340
Black,Girls,Non-FSM,All,All,All,All state-funded,All,55.5,%,12393,6874
Black African,Girls,Non-FSM,All,All,All,All state-funded,All,59.3,%,8157,4841
Mixed White and Asian,All,All,All,All,All,All state-funded,All,60.9,%,6654,4049
Mixed White and Asian,All,FSM,All,All,All,All state-funded,All,34,%,1062,361
Black African,Boys,Non-FSM,All,All,All,All state-funded,All,48.7,%,7989,3889
Mixed White and Asian,Boys,All,All,All,All,All state-funded,All,56.1,%,3410,1912
Mixed White and Asian,Girls,All,All,All,All,All state-funded,All,65.9,%,3244,2137
Mixed White and Asian,All,Non-FSM,All,All,All,All state-funded,All,66,%,5592,3688
Black Caribbean,Boys,Non-FSM,All,All,All,All state-funded,All,32.4,%,2651,859
Mixed White and Black African,All,All,All,All,All,All state-funded,All,50.3,%,3706,1863
Black Caribbean,Girls,Non-FSM,All,All,All,All state-funded,All,44.6,%,2688,1198
Black Other,Girls,Non-FSM,All,All,All,All state-funded,All,53.9,%,1548,835
Mixed White and Black African,All,FSM,All,All,All,All state-funded,All,34.6,%,832,288
Mixed White and Black African,All,Non-FSM,All,All,All,All state-funded,All,54.8,%,2874,1575
Black Other,Boys,Non-FSM,All,All,All,All state-funded,All,36.2,%,1637,592
Mixed White and Black African,Boys,All,All,All,All,All state-funded,All,45.3,%,1831,830
Mixed White and Black African,Girls,All,All,All,All,All state-funded,All,55.1,%,1875,1033
Other,All,All,All,All,All,Academies and free schools,All,52.2,%,7615,3972
Other,Boys,All,All,All,All,Sponsored Academies,All,41.6,%,1538,640
Other,Girls,All,All,All,All,Studio Schools,All,60,%,10,6
Other,Girls,All,All,All,All,University Technical Colleges (UTCs),All,30.4,%,23,7
Other,Girls,All,All,All,All,Sponsored Academies,All,50,%,1223,611
Other,Girls,All,All,All,All,Free Schools,All,60.9,%,174,106
Other,Boys,All,All,All,All,FE 14-16 Colleges,All,0,%,2,0
Other,Boys,All,All,All,All,Studio Schools,All,33.3,%,24,8
Other,Boys,All,All,All,All,University Technical Colleges (UTCs),All,34.9,%,43,15
Other,All,All,All,All,All,Converter Academies,All,56.5,%,4358,2464
Other,All,All,All,All,All,Studio Schools,All,41.2,%,34,14
Other,Girls,All,All,All,All,Converter Academies,All,61.8,%,2226,1376
Other,All,All,All,All,All,Sponsored Academies,All,45.3,%,2761,1251
Other,All,All,All,All,All,University Technical Colleges (UTCs),All,33.3,%,66,22
Other,Boys,All,All,All,All,Academies and free schools,All,47.1,%,3959,1866
Other,Girls,All,All,All,All,Academies and free schools,All,57.6,%,3656,2106
Other,Boys,All,All,All,All,Converter Academies,All,51,%,2132,1088
Other,All,All,All,All,All,FE 14-16 Colleges,All,0,%,3,0
Other,Girls,All,All,All,All,FE 14-16 Colleges,All,!,%,1,!
Other,Boys,All,All,All,All,Free Schools,All,51.8,%,222,115
Other,All,All,All,All,All,Free Schools,All,55.8,%,396,221
Other,Girls,All,All,All,All,LA maintained mainstream,All,52.8,%,1375,726
Other,Boys,All,All,All,All,LA maintained mainstream,All,44.8,%,1365,612
Other,All,All,All,All,All,LA maintained mainstream,All,48.8,%,2740,1338
Other,Girls,All,All,All,selective schools,State-funded mainstream,All,96.9,%,163,158
Other,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,59.9,%,162,97
Other,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,45.3,%,4981,2256
Other,Boys,All,All,All,selective schools,State-funded mainstream,All,97.9,%,142,139
Other,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,41.3,%,201,83
Other,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,54.8,%,4706,2577
Other,All,All,All,All,selective schools,State-funded mainstream,All,97.4,%,305,297
Other,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,49.9,%,9687,4833
Other,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,49.6,%,363,180
Other,Boys,All,All,All,All,State-funded mainstream,All,46.5,%,5326,2478
Other,Boys,All,All,No identified SEN,All,All state-funded,All,50.4,%,4705,2369
Other,Girls,All,All,Any SEN,All,All state-funded,All,22.2,%,436,97
Mixed White and Black Caribbean,All,All,All,All,All,All state-funded,All,37.6,%,8028,3015
Other,Boys,All,All,Any SEN,All,All state-funded,All,15,%,739,111
Other,Girls,All,All,No identified SEN,All,All state-funded,All,58.9,%,4640,2735
Other,All,All,All,All,All,All state-funded,All,50.5,%,10522,5312
Other,Boys,All,SEN Supp,All,All,All state-funded,All,17.5,%,520,91
Other,Boys,All,No SEN,All,All,All state-funded,All,50.4,%,4705,2369
Other,Girls,All,No SEN,All,All,All state-funded,All,58.9,%,4640,2735
Other,Girls,All,SEN Supp,All,All,All state-funded,All,25.8,%,365,94
Other,Boys,All,SEN State EHC,All,All,All state-funded,All,9.1,%,219,20
Other,All,All,All,Any SEN,All,All state-funded,All,17.7,%,1175,208
Other,All,All,All,No identified SEN,All,All state-funded,All,54.6,%,9345,5104
Other,All,All,No SEN,All,All,All state-funded,All,54.6,%,9345,5104
Other,Girls,All,SEN State EHC,All,All,All state-funded,All,4.2,%,71,3
Other,Girls,All,All,All,All,State-funded special schools,All,0,%,45,0
Other,Boys,All,All,All,All,State-funded special schools,All,1.7,%,119,2
Other,All,All,All,All,All,State-funded special schools,All,1.2,%,164,2
Other,All,All,All,All,All,State-funded mainstream,All,51.3,%,10358,5310
Other,Girls,All,All,All,All,State-funded mainstream,All,56.3,%,5032,2832
Gypsy/Roma,Girls,Non-FSM,All,All,All,All state-funded,All,11.3,%,416,47
Gypsy/Roma,Boys,Non-FSM,All,All,All,All state-funded,All,7.9,%,441,35
Indian,Boys,Non-FSM,All,All,All,All state-funded,All,68.1,%,7721,5259
Indian,Girls,Non-FSM,All,All,All,All state-funded,All,75.7,%,7265,5499
Other,All,All,SEN State EHC,All,All,All state-funded,All,7.9,%,290,23
Mixed White and Black Caribbean,All,FSM,All,All,All,All state-funded,All,23,%,2244,515
Mixed White and Black Caribbean,Boys,All,All,All,All,All state-funded,All,32.4,%,3906,1264
Mixed White and Black Caribbean,Girls,All,All,All,All,All state-funded,All,42.5,%,4122,1751
Mixed White and Black Caribbean,All,Non-FSM,All,All,All,All state-funded,All,43.2,%,5784,2500
Unknown,Girls,All,All,All,All,Academies and free schools,All,48.4,%,2743,1327
Unknown,All,All,All,All,All,Academies and free schools,All,44.7,%,5779,2583
Unknown,Girls,All,All,All,All,Studio Schools,All,42.4,%,33,14
Unknown,Girls,All,All,All,All,Converter Academies,All,53.6,%,1787,958
Unknown,Boys,All,All,All,All,University Technical Colleges (UTCs),All,34.6,%,81,28
Unknown,Boys,All,All,All,All,Sponsored Academies,All,30.7,%,779,239
Unknown,Boys,All,All,All,All,Free Schools,All,42.2,%,256,108
Unknown,Boys,All,All,All,All,Studio Schools,All,31.3,%,32,10
Unknown,All,All,All,All,All,University Technical Colleges (UTCs),All,37.3,%,126,47
Unknown,All,All,All,All,All,Converter Academies,All,49.8,%,3675,1829
Unknown,Boys,All,All,All,All,Converter Academies,All,46.1,%,1888,871
Unknown,All,All,All,All,All,FE 14-16 Colleges,All,9.6,%,1884,181
Unknown,All,All,All,All,All,Free Schools,All,44.5,%,449,200
Unknown,Boys,All,All,All,All,Academies and free schools,All,41.4,%,3036,1256
Unknown,Girls,All,All,All,All,FE 14-16 Colleges,All,12,%,980,118
Unknown,Boys,All,All,All,All,FE 14-16 Colleges,All,7,%,904,63
Unknown,Girls,All,All,All,All,Sponsored Academies,All,35.6,%,685,244
Unknown,Girls,All,All,All,All,Free Schools,All,47.7,%,193,92
Unknown,Girls,All,All,All,All,University Technical Colleges (UTCs),All,42.2,%,45,19
Unknown,All,All,All,All,All,Sponsored Academies,All,33,%,1464,483
Unknown,All,All,All,All,All,LA maintained mainstream,All,50.6,%,1766,893
Unknown,Girls,All,All,All,All,LA maintained mainstream,All,53.2,%,814,433
Unknown,Boys,All,All,All,All,LA maintained mainstream,All,48.3,%,952,460
Unknown,Boys,All,SEN State EHC,All,All,All state-funded,All,7.9,%,227,18
Unknown,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,48.8,%,3229,1575
Unknown,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,34,%,209,71
Unknown,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,41.7,%,3606,1503
Unknown,Boys,All,All,All,selective schools,State-funded mainstream,All,94.3,%,157,148
Unknown,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,29.2,%,226,66
Unknown,All,All,All,All,selective schools,State-funded mainstream,All,94.6,%,277,262
Unknown,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,31.5,%,435,137
Unknown,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,45,%,6835,3078
Unknown,Girls,All,All,All,selective schools,State-funded mainstream,All,95,%,120,114
Unknown,Girls,All,All,All,All,State-funded mainstream,All,41.4,%,4538,1878
Unknown,All,All,All,All,All,State-funded mainstream,All,38.8,%,9431,3658
Unknown,Girls,All,All,Any SEN,All,All state-funded,All,16.8,%,399,67
Unknown,Girls,All,All,No identified SEN,All,All state-funded,All,53,%,3196,1693
Other,All,All,SEN Supp,All,All,All state-funded,All,20.9,%,885,185
Unknown,Boys,All,All,No identified SEN,All,All state-funded,All,47.8,%,3361,1606
Pakistani,All,All,All,All,All,All state-funded,All,47.8,%,24275,11595
Unknown,Boys,All,All,Any SEN,All,All state-funded,All,15.3,%,732,112
Unknown,Boys,All,SEN Supp,All,All,All state-funded,All,18.6,%,505,94
Unknown,Girls,All,No SEN,All,All,All state-funded,All,53,%,3196,1693
Unknown,Girls,All,SEN State EHC,All,All,All state-funded,All,5.9,%,85,5
Unknown,Girls,All,SEN Supp,All,All,All state-funded,All,19.7,%,314,62
Unknown,All,All,All,All,All,All state-funded,All,38.2,%,9570,3659
Unknown,All,All,All,Any SEN,All,All state-funded,All,15.8,%,1131,179
Unknown,All,All,All,No identified SEN,All,All state-funded,All,50.3,%,6557,3299
Unknown,Boys,All,No SEN,All,All,All state-funded,All,47.8,%,3361,1606
Unknown,Girls,All,All,All,All,State-funded special schools,All,0,%,36,0
Unknown,Boys,All,All,All,All,State-funded special schools,All,1,%,103,1
Unknown,All,All,All,All,All,State-funded special schools,All,0.7,%,139,1
Unknown,Boys,All,All,All,All,State-funded mainstream,All,36.4,%,4893,1780
Unknown,All,All,All,All,All,Studio Schools,All,36.9,%,65,24
White,Boys,All,All,All,All,Academies and free schools,All,46.8,%,158992,74434
White,Boys,All,All,All,All,Studio Schools,All,32.1,%,470,151
White,Boys,All,All,All,All,FE 14-16 Colleges,All,0,%,62,0
White,Girls,All,All,All,All,Sponsored Academies,All,42.9,%,40584,17422
White,Girls,All,All,All,All,Converter Academies,All,58.5,%,110320,64569
White,Boys,All,All,All,All,Sponsored Academies,All,35.6,%,42349,15092
White,Boys,All,All,All,All,University Technical Colleges (UTCs),All,35.9,%,1906,684
White,Girls,All,All,All,All,Free Schools,All,53.9,%,2609,1406
White,Girls,All,All,All,All,FE 14-16 Colleges,All,0,%,19,0
White,Boys,All,All,All,All,Free Schools,All,49.7,%,2944,1462
White,All,All,All,All,All,Free Schools,All,51.6,%,5553,2868
White,All,All,All,All,All,University Technical Colleges (UTCs),All,38,%,2638,1002
White,All,All,All,All,All,FE 14-16 Colleges,All,0,%,81,0
White,Girls,All,All,All,All,Studio Schools,All,35.7,%,395,141
White,All,All,All,All,All,Sponsored Academies,All,39.2,%,82933,32514
White,All,All,All,All,All,Studio Schools,All,33.8,%,865,292
White,Girls,All,All,All,All,Academies and free schools,All,54.2,%,154640,83856
White,All,All,All,All,All,Academies and free schools,All,50.5,%,313632,158290
White,Boys,All,All,All,All,Converter Academies,All,51.2,%,111323,57045
White,Girls,All,All,All,All,University Technical Colleges (UTCs),All,43.4,%,732,318
White,All,All,All,All,All,Converter Academies,All,54.9,%,221643,121614
White,Girls,All,All,All,All,LA maintained mainstream,All,52.5,%,46424,24380
White,Boys,All,All,All,All,LA maintained mainstream,All,45.3,%,47063,21331
White,All,All,All,All,All,LA maintained mainstream,All,48.9,%,93487,45711
Unknown,All,All,No SEN,All,All,All state-funded,All,50.3,%,6557,3299
Unknown,All,All,SEN State EHC,All,All,All state-funded,All,7.4,%,312,23
Other,All,FSM,All,All,All,All state-funded,All,39.4,%,2783,1097
Other,Boys,All,All,All,All,All state-funded,All,45.5,%,5445,2480
Other,Girls,All,All,All,All,All state-funded,All,55.8,%,5077,2832
Irish Traveller,Girls,Non-FSM,All,All,All,All state-funded,All,31.8,%,44,14
Other,All,Non-FSM,All,All,All,All state-funded,All,54.5,%,7739,4215
White,Boys,All,All,All,selective schools,State-funded mainstream,All,93.9,%,7999,7513
White,Girls,All,All,All,non-selective schools in other areas,State-funded mainstream,All,52.9,%,179475,94931
White,Boys,All,All,All,non-selective schools in other areas,State-funded mainstream,All,45.3,%,184304,83569
White,Girls,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,41.2,%,13632,5618
White,All,All,All,All,selective schools,State-funded mainstream,All,95,%,16169,15359
White,Boys,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,34.5,%,13967,4823
White,All,All,All,All,non-selective schools in highly selective areas,State-funded mainstream,All,37.8,%,27599,10441
White,Girls,All,All,All,selective schools,State-funded mainstream,All,96,%,8170,7846
White,All,All,All,All,non-selective schools in other areas,State-funded mainstream,All,49.1,%,363779,178500
White,Girls,All,All,All,All,State-funded mainstream,All,53.8,%,201296,108395
White,Girls,All,All,Any SEN,All,All state-funded,All,20.2,%,23773,4811
White,Boys,All,All,No identified SEN,All,All state-funded,All,52.3,%,171888,89822
White,Boys,All,All,Any SEN,All,All state-funded,All,15.1,%,40881,6157
Unknown,All,All,SEN Supp,All,All,All state-funded,All,19,%,819,156
White,All,All,All,All,All,All state-funded,All,49.1,%,416504,204392
White,Girls,All,All,No identified SEN,All,All state-funded,All,57.6,%,179904,103602
White,Boys,All,SEN State EHC,All,All,All state-funded,All,6.6,%,12311,810
White,Boys,All,No SEN,All,All,All state-funded,All,52.3,%,171888,89822
White,Girls,All,SEN Supp,All,All,All state-funded,All,23.7,%,19092,4524
White,Boys,All,SEN Supp,All,All,All state-funded,All,18.7,%,28570,5347
White,All,All,All,Any SEN,All,All state-funded,All,17,%,64654,10968
White,Girls,All,No SEN,All,All,All state-funded,All,57.6,%,179904,103602
Irish Traveller,Boys,Non-FSM,All,All,All,All state-funded,All,33.3,%,27,9
White,Girls,All,SEN State EHC,All,All,All state-funded,All,6.1,%,4681,287
White,All,All,All,No identified SEN,All,All state-funded,All,55,%,351792,193424
Mixed,Boys,Non-FSM,All,All,All,All state-funded,All,51.6,%,11618,5996
Mixed,Girls,Non-FSM,All,All,All,All state-funded,All,60,%,11542,6923
White,Boys,All,All,All,All,State-funded special schools,All,1.1,%,6479,74
White,Girls,All,All,All,All,State-funded special schools,All,0.8,%,2397,18
White,All,All,All,All,All,State-funded special schools,All,1,%,8876,92
White,Boys,All,All,All,All,State-funded mainstream,All,46.5,%,206332,95905
White,All,All,All,All,All,State-funded mainstream,All,50.1,%,407628,204300
Mixed Other,Girls,Non-FSM,All,All,All,All state-funded,All,61.5,%,4367,2684
Mixed Other,Boys,Non-FSM,All,All,All,All state-funded,All,54.4,%,4543,2472
Mixed White and Asian,Boys,Non-FSM,All,All,All,All state-funded,All,61.5,%,2852,1753
Mixed White and Asian,Girls,Non-FSM,All,All,All,All state-funded,All,70.6,%,2740,1935
White,All,All,No SEN,All,All,All state-funded,All,55,%,351792,193424
Pakistani,All,FSM,All,All,All,All state-funded,All,38.4,%,5162,1980
Pakistani,Boys,All,All,All,All,All state-funded,All,45.2,%,12280,5553
Pakistani,All,Non-FSM,All,All,All,All state-funded,All,50.3,%,19113,9615
Pakistani,Girls,All,All,All,All,All state-funded,All,50.4,%,11995,6042
Mixed White and Black African,Girls,Non-FSM,All,All,All,All state-funded,All,59.6,%,1454,867
Mixed White and Black African,Boys,Non-FSM,All,All,All,All state-funded,All,49.9,%,1420,708
Mixed White and Black Caribbean,Girls,Non-FSM,All,All,All,All state-funded,All,48.2,%,2981,1437
Mixed White and Black Caribbean,Boys,Non-FSM,All,All,All,All state-funded,All,37.9,%,2803,1063
White,All,All,SEN State EHC,All,All,All state-funded,All,6.5,%,16992,1097
Unknown,Boys,All,All,All,All,All state-funded,All,35.6,%,4996,1781
Unknown,All,FSM,All,All,All,All state-funded,All,26.5,%,1411,374
Unknown,Girls,All,All,All,All,All state-funded,All,41.1,%,4574,1878
Unknown,All,Non-FSM,All,All,All,All state-funded,All,40.3,%,8159,3285
Pakistani,Boys,Non-FSM,All,All,All,All state-funded,All,47.8,%,9759,4662
Pakistani,Girls,Non-FSM,All,All,All,All state-funded,All,53,%,9354,4953
White,Boys,Non-FSM,All,All,All,All state-funded,All,49.2,%,182541,89887
White,Girls,Non-FSM,All,All,All,All state-funded,All,57.7,%,174660,100764
White,All,All,SEN Supp,All,All,All state-funded,All,20.7,%,47662,9871
White,All,FSM,All,All,All,All state-funded,All,23.2,%,59303,13741
White,Boys,All,All,All,All,All state-funded,All,45.1,%,212811,95979
White,All,Non-FSM,All,All,All,All state-funded,All,53.4,%,357201,190651
White,Girls,All,All,All,All,All state-funded,All,53.2,%,203693,108413
White British,All,All,All,All,All,All state-funded,All,49.2,%,383021,188497
White British,All,FSM,All,All,All,All state-funded,All,22.7,%,55375,12585
White British,All,Non-FSM,All,All,All,All state-funded,All,53.7,%,327646,175912
White British,Boys,All,All,All,All,All state-funded,All,45.3,%,195714,88592
White British,Girls,Non-FSM,All,All,All,All state-funded,All,58,%,160184,92888
White British,Boys,Non-FSM,All,All,All,All state-funded,All,49.6,%,167462,83024
White British,Girls,All,All,All,All,All state-funded,All,53.3,%,187307,99905
White Irish,Girls,Non-FSM,All,All,All,All state-funded,All,68.2,%,711,485
White Irish,Boys,Non-FSM,All,All,All,All state-funded,All,61.8,%,714,441
White Irish,All,All,All,All,All,All state-funded,All,60.2,%,1648,992
White Irish,All,FSM,All,All,All,All state-funded,All,29.6,%,223,66
White Irish,All,Non-FSM,All,All,All,All state-funded,All,65,%,1425,926
White Irish,Boys,All,All,All,All,All state-funded,All,56.8,%,837,475
White Other,Boys,Non-FSM,All,All,All,All state-funded,All,45.9,%,13897,6378
White Other,Girls,Non-FSM,All,All,All,All state-funded,All,55.1,%,13305,7330
White Irish,Girls,All,All,All,All,All state-funded,All,63.7,%,811,517
Chinese,Boys,Non-FSM,All,All,All,All state-funded,All,75.7,%,882,668
Chinese,Girls,Non-FSM,All,All,All,All state-funded,All,84.3,%,937,790
White Other,All,All,All,All,All,All state-funded,All,48.7,%,30321,14762
White Other,All,FSM,All,All,All,All state-funded,All,33.8,%,3119,1054
White Other,All,Non-FSM,All,All,All,All state-funded,All,50.4,%,27202,13708
White Other,Boys,All,All,All,All,All state-funded,All,44.2,%,15498,6854
Other,Boys,Non-FSM,All,All,All,All state-funded,All,49.2,%,3971,1952
Other,Girls,Non-FSM,All,All,All,All state-funded,All,60.1,%,3768,2263
White Other,Girls,All,All,All,All,All state-funded,All,53.3,%,14823,7908
Unknown,Boys,Non-FSM,All,All,All,All state-funded,All,37.6,%,4243,1597
Unknown,Girls,Non-FSM,All,All,All,All state-funded,All,43.1,%,3916,1688
